"","term3","Freq"
"832","efficiently",3
"837","eggs",3
"860","entry",3
"935","fairly",3
"957","feel",3
"1007","foodcourt",3
"1010","foods",3
"1030","freezer",3
"1069","gel",3
"1094","going",3
"1118","group",3
"1133","gym",3
"1142","hairs",3
"1202","higher",3
"1238","house",3
"1246","huge",3
"1252","hwy",3
"1256","idea",3
"1280","inconvenience",3
"1320","internet",3
"1330","issues",3
"1337","itstayed",3
"1361","keeping",3
"1364","key",3
"1379","knew",3
"1411","least",3
"1413","leaving",3
"1423","life",3
"1451","ll",3
"1484","lounge",3
"1493","luggages",3
"1511","maker",3
"1512","makes",3
"1516","malaysia",3
"1518","malaysiastayed",3
"1543","mattress",3
"1549","meals",3
"1574","metrostayed",3
"1577","midnight",3
"1580","milk",3
"1584","mini",3
"1593","miss",3
"1594","missed",3
"1617","move",3
"1643","nd",3
"1647","nearbystayed",3
"1664","neighbourhood",3
"1696","normal",3
"1700","nothingstayed",3
"1721","offer",3
"1738","once",3
"1779","outdoor",3
"1785","outstayed",3
"1790","overcrowded",3
"1817","part",3
"1839","peak",3
"1856","persons",3
"1939","prices",3
"1987","purple",3
"1995","queen",3
"2026","rates",3
"2044","reasonably",3
"2063","refilled",3
"2095","replenish",3
"2122","restaurantsstayed",3
"2131","reviews",3
"2139","river",3
"2161","roomsstayed",3
"2177","safety",3
"2203","second",3
"2217","self",3
"2234","services",3
"2237","set",3
"2245","sg",3
"2260","shop",3
"2288","similar",3
"2302","sitting",3
"2304","situation",3
"2319","sliding",3
"2335","smelled",3
"2337","smelt",3
"2398","squashy",3
"2415","stall",3
"2416","stalls",3
"2422","star",3
"2423","starbucks",3
"2450","stopstayed",3
"2469","struggled",3
"2489","suitable",3
"2501","supermarket",3
"2503","sure",3
"2509","surrounding",3
"2521","table",3
"2528","taking",3
"2531","tasty",3
"2532","taxes",3
"2578","therestayed",3
"2611","tired",3
"2613","tissues",3
"2620","toiletries",3
"2650","towel",3
"2654","town",3
"2668","transportstayed",3
"2685","trouble",3
"2687","trying",3
"2689","tube",3
"2704","typical",3
"2730","universal",3
"2800","visit",3
"2801","visited",3
"2831","washroom",3
"2869","white",3
"2872","whole",3
"2877","wifistayed",3
"2879","window",3
"2895","wonderful",3
"2898","work",3
"2903","worst",3
"2906","wouldn",3
"2912","year",3
"2919","young",3
"7","absolutely",2
"12","acceptable",2
"21","accommodates",2
"25","according",2
"28","accross",2
"35","adamant",2
"36","add",2
"39","addition",2
"48","adult",2
"50","advance",2
"53","advice",2
"75","airportstayed",2
"79","allocated",2
"83","allows",2
"84","allstayed",2
"90","alsostayed",2
"126","apple",2
"127","appointed",2
"129","appreciated",2
"131","approx",2
"142","aren",2
"148","arranged",2
"157","arrogant",2
"174","attended",2
"184","authorization",2
"195","awful",2
"224","based",2
"233","baystayed",2
"236","beans",2
"237","bear",2
"265","believe",2
"295","block",2
"297","blocks",2
"321","bother",2
"322","bottle",2
"323","bottled",2
"335","breads",2
"350","brilliant",2
"357","btw",2
"376","button",2
"383","cab",2
"386","cafes",2
"405","carlton",2
"415","cater",2
"423","centrally",2
"427","cereal",2
"442","chaotic",2
"445","chargestayed",2
"448","cheaper",2
"452","checkin",2
"455","cheese",2
"474","circle",2
"490","cleanlinessstayed",2
"506","clothes",2
"508","coach",2
"514","color",2
"526","comfortstayed",2
"534","common",2
"536","communicate",2
"549","completely",2
"553","con",2
"557","concierge",2
"567","confusion",2
"584","contact",2
"587","contemporary",2
"604","cooked",2
"625","counter",2
"630","courteous",2
"632","courtstayed",2
"649","crossing",2
"655","cuisine",2
"660","customers",2
"671","daystayed",2
"672","daythe",2
"681","deck",2
"688","deducted",2
"690","deep",2
"702","departure",2
"706","depth",2
"710","designed",2
"720","detachable",2
"721","details",2
"722","devices",2
"729","difference",2
"737","dinning",2
"738","dint",2
"739","dip",2
"747","disappointing",2
"750","disgusting",2
"764","disturb",2
"777","dont",2
"780","doorstayed",2
"802","drop",2
"814","earlier",2
"827","eats",2
"829","eco",2
"833","effort",2
"858","entire",2
"859","entrance",2
"861","environment",2
"875","etcstayed",2
"906","exit",2
"910","expectations",2
"926","fab",2
"940","famous",2
"949","faststayed",2
"959","feels",2
"962","female",2
"964","fi",2
"966","fill",2
"973","finestayed",2
"975","finished",2
"981","fitness",2
"983","fittings",2
"1018","forget",2
"1019","forgot",2
"1037","friend",2
"1041","friendliness",2
"1051","fruit",2
"1054","fully",2
"1055","fun",2
"1063","futurestayed",2
"1066","gardens",2
"1067","gate",2
"1068","gave",2
"1070","general",2
"1071","generally",2
"1074","genuine",2
"1084","glad",2
"1112","green",2
"1113","greet",2
"1114","greeted",2
"1124","guess",2
"1145","half",2
"1151","handle",2
"1152","handy",2
"1154","hang",2
"1160","happy",2
"1161","harbour",2
"1170","haven",2
"1177","head",2
"1182","heart",2
"1195","helpfulstayed",2
"1218","hop",2
"1219","hope",2
"1221","horrible",2
"1244","hrs",2
"1257","ideal",2
"1264","important",2
"1270","improvement",2
"1275","inadequate",2
"1291","infinity",2
"1316","interesting",2
"1319","international",2
"1324","iron",2
"1327","isn",2
"1351","juice",2
"1354","junction",2
"1370","kinda",2
"1373","kinds",2
"1374","king",2
"1382","knowing",2
"1397","larger",2
"1403","laundry",2
"1406","layout",2
"1446","literally",2
"1452","loads",2
"1457","locate",2
"1465","locations",2
"1494","luggagestayed",2
"1499","machine",2
"1506","maintained",2
"1520","malls",2
"1524","management",2
"1525","manager",2
"1530","mariana",2
"1535","markets",2
"1536","marketstayed",2
"1551","mean",2
"1556","medium",2
"1563","menue",2
"1569","messy",2
"1570","met",2
"1618","moved",2
"1627","mtr",2
"1630","multiple",2
"1631","muslim",2
"1638","names",2
"1650","nearly",2
"1651","neat",2
"1671","nicely",2
"1674","nichol",2
"1679","nicolle",2
"1684","nil",2
"1694","noon",2
"1697","normally",2
"1725","offers",2
"1727","officer",2
"1732","okaystayed",2
"1744","onlystayed",2
"1747","opened",2
"1748","opening",2
"1752","opinion",2
"1780","outlets",2
"1793","overly",2
"1794","overnight",2
"1797","owner",2
"1806","panoramic",2
"1807","paper",2
"1810","parasols",2
"1816","parkingstayed",2
"1824","party",2
"1826","passenger",2
"1828","passing",2
"1832","patience",2
"1840","pedestrian",2
"1847","perfectstayed",2
"1862","pi",2
"1864","picked",2
"1866","pictures",2
"1892","policy",2
"1893","polite",2
"1903","poolside",2
"1908","poorstayed",2
"1914","position",2
"1917","possible",2
"1945","printed",2
"1948","privacy",2
"1954","process",2
"1969","propertystayed",2
"1982","pubs",2
"1986","pure",2
"1988","purpose",2
"1989","push",2
"1999","questionsstayed",2
"2007","quietstayed",2
"2014","rain",2
"2021","range",2
"2022","rank",2
"2027","ratestayed",2
"2031","reached",2
"2036","real",2
"2037","realise",2
"2038","realize",2
"2042","reason",2
"2047","recently",2
"2053","recognised",2
"2057","recommendstayed",2
"2070","refused",2
"2082","remember",2
"2084","reminder",2
"2087","remove",2
"2088","renamed",2
"2096","replenished",2
"2097","replenishing",2
"2103","requested",2
"2111","reservation",2
"2127","resturant",2
"2128","return",2
"2132","rice",2
"2136","rigid",2
"2137","rise",2
"2145","rock",2
"2174","sad",2
"2180","salad",2
"2190","saw",2
"2197","screaming",2
"2213","seen",2
"2220","sense",2
"2228","seriously",2
"2236","serving",2
"2246","sgd",2
"2249","shallow",2
"2251","shampoos",2
"2253","sharing",2
"2273","showerstayed",2
"2278","sides",2
"2279","sight",2
"2282","sign",2
"2287","silentstayed",2
"2299","sink",2
"2301","sitesstayed",2
"2318","slide",2
"2336","smelly",2
"2343","smooth",2
"2344","smrt",2
"2361","soon",2
"2367","sound",2
"2368","soundproof",2
"2375","speak",2
"2376","special",2
"2384","spent",2
"2399","squeeze",2
"2400","squeezed",2
"2436","stays",2
"2446","stood",2
"2451","storage",2
"2457","strategic",2
"2476","stunning",2
"2491","suitcase",2
"2494","sun",2
"2504","surely",2
"2518","system",2
"2544","tell",2
"2550","tends",2
"2555","terrible",2
"2557","terrific",2
"2561","thailand",2
"2563","thank",2
"2564","thankfully",2
"2603","tile",2
"2612","tissue",2
"2623","toiletstayed",2
"2626","tolerable",2
"2637","topstayed",2
"2639","tostayed",2
"2642","touch",2
"2645","tour",2
"2653","tower",2
"2661","trainstayed",2
"2672","traveling",2
"2681","triple",2
"2691","turn",2
"2709","umbrellas",2
"2719","understand",2
"2734","unpleasant",2
"2750","upto",2
"2753","usb",2
"2778","vegetarians",2
"2798","virtually",2
"2802","visitors",2
"2803","visitstayed",2
"2814","walked",2
"2835","wasnt",2
"2846","weekends",2
"2848","welcome",2
"2858","weren",2
"2875","wi",2
"2884","wish",2
"2893","won",2
"2902","worried",2
"2907","write",2
"2908","written",2
"2913","years",2
"2914","yellow",2
"2928","yummy",2
"2929","zero",2
"6","abraham",1
"8","absorbe",1
"9","absorbent",1
"10","abt",1
"11","acc",1
"14","accessfriendly",1
"17","accessing",1
"18","accident",1
"19","accidentally",1
"24","accomodationstayed",1
"27","account",1
"29","accss",1
"31","acrossstayed",1
"32","action",1
"33","activate",1
"38","adding",1
"41","address",1
"43","adequatebut",1
"44","aditional",1
"46","adjoining",1
"47","adjust",1
"51","advantage",1
"52","advertised",1
"54","advised",1
"55","affect",1
"56","affected",1
"57","afford",1
"58","affordabe",1
"59","affordabilitystayed",1
"61","affordablestayed",1
"63","afternoons",1
"65","againonly",1
"69","agents",1
"72","airconditioning",1
"74","airportbreakfast",1
"76","airstayed",1
"78","allbest",1
"82","allowing",1
"87","aloysius",1
"95","amazingstayed",1
"96","ambiance",1
"97","ambience",1
"98","ameneties",1
"100","amenitiesslow",1
"101","amenitiesstayed",1
"102","american",1
"103","amex",1
"104","amicable",1
"105","amiss",1
"106","ammasing",1
"110","andthe",1
"111","anf",1
"112","announcing",1
"115","anstrange",1
"116","answering",1
"117","ant",1
"121","anytime",1
"128","appreciate",1
"130","approachable",1
"132","approximately",1
"135","arabic",1
"138","areagood",1
"140","areasstayed",1
"143","argument",1
"144","arm",1
"145","army",1
"149","arranging",1
"153","arrivedwhen",1
"154","arrivel",1
"155","arrives",1
"163","asking",1
"165","assisted",1
"166","assorted",1
"168","ate",1
"169","atm",1
"170","atmosphere",1
"171","atmospherestayed",1
"172","atpm",1
"173","attend",1
"176","attentive",1
"178","attraction",1
"180","attractionscleanliness",1
"182","aud",1
"185","automatic",1
"186","automatics",1
"188","availablestayed",1
"190","averagestayed",1
"191","aware",1
"197","baby",1
"199","backache",1
"200","backstayed",1
"203","badanyway",1
"204","badstayed",1
"205","badthe",1
"206","bag",1
"207","bagage",1
"209","bagsrooms",1
"210","baked",1
"211","balan",1
"212","balcony",1
"213","balkoony",1
"214","banana",1
"215","bananas",1
"216","bangkok",1
"218","banks",1
"220","barely",1
"221","barging",1
"222","barrier",1
"226","basin",1
"227","bass",1
"230","bathrooms",1
"231","bathroomstayed",1
"243","bedding",1
"244","beddingstayed",1
"245","bedeasy",1
"246","bedfrom",1
"247","bedgood",1
"249","bedrooms",1
"251","bedscleangood",1
"252","bedsstayed",1
"254","beech",1
"256","beer",1
"257","beerhouse",1
"258","beers",1
"262","behave",1
"267","bellboystayed",1
"268","bellhopper",1
"270","bench",1
"271","beneficial",1
"272","beneficialstayed",1
"273","bent",1
"277","bestayed",1
"279","betterhaving",1
"280","betterstayed",1
"283","bf",1
"284","biasa",1
"289","bike",1
"290","bin",1
"292","biryani",1
"294","blankets",1
"296","blocked",1
"298","blue",1
"299","blunt",1
"300","board",1
"301","boarding",1
"302","boats",1
"304","boiling",1
"305","bonbon",1
"306","bone",1
"308","bonusadditional",1
"314","bookingstayed",1
"315","boon",1
"316","boooking",1
"317","boring",1
"318","boringstayed",1
"319","borrowed",1
"325","boutique",1
"326","bowl",1
"327","box",1
"328","boxes",1
"330","boys",1
"331","brakfast",1
"333","branding",1
"336","break",1
"338","breakfastgood",1
"339","breakfastgreat",1
"340","breakfastpool",1
"341","breakfastroom",1
"344","breastmilk",1
"345","breathing",1
"346","brewed",1
"348","bright",1
"349","brighter",1
"352","bringing",1
"355","brst",1
"356","bt",1
"361","bugs",1
"363","buildings",1
"364","bulky",1
"365","bunch",1
"366","burgis",1
"369","busier",1
"371","buss",1
"374","butordeikaiconfirm",1
"375","butter",1
"377","buttonlifts",1
"381","bystayed",1
"384","cable",1
"385","caf",1
"389","calling",1
"390","calls",1
"393","cancel",1
"395","capacity",1
"396","cappucino",1
"399","cards",1
"400","care",1
"401","cared",1
"402","carefully",1
"403","careless",1
"404","carelessmy",1
"407","carpeted",1
"408","carpets",1
"410","carstayed",1
"411","carting",1
"413","cash",1
"414","catch",1
"416","caught",1
"418","caused",1
"419","causes",1
"420","cbd",1
"425","centres",1
"428","cereals",1
"429","chain",1
"430","chair",1
"431","chairs",1
"432","challenging",1
"433","chambermaid",1
"436","changedi",1
"437","changers",1
"439","channa",1
"441","channelsstayed",1
"444","charged",1
"446","chat",1
"449","cheapstayed",1
"457","chef",1
"458","chewing",1
"460","chickens",1
"463","childrenstayed",1
"464","chill",1
"465","china",1
"467","chirpily",1
"468","chit",1
"469","chocolate",1
"473","choosing",1
"475","circulation",1
"477","citystayed",1
"478","cityvery",1
"479","clarified",1
"480","clarifying",1
"481","class",1
"482","clea",1
"484","cleancommitmetali",1
"487","cleangood",1
"492","cleannext",1
"493","cleanser",1
"495","clear",1
"496","cleared",1
"497","clearly",1
"498","clients",1
"499","climb",1
"503","closest",1
"504","closestayed",1
"507","club",1
"509","cockcroach",1
"510","cockroach",1
"513","colonial",1
"515","com",1
"517","comeback",1
"518","comes",1
"519","comform",1
"522","comfortablesstayed",1
"524","comfortablethe",1
"525","comfortsstayed",1
"527","comfry",1
"531","commend",1
"532","comment",1
"533","commentstayed",1
"535","communal",1
"537","communicated",1
"539","compalain",1
"540","compare",1
"542","competence",1
"543","competentstayed",1
"544","competitively",1
"546","complaining",1
"547","complaint",1
"548","complete",1
"550","completestayed",1
"554","concantrate",1
"558","condition",1
"560","conditioning",1
"561","conducive",1
"562","conference",1
"563","configured",1
"564","confirmed",1
"565","confortable",1
"566","confusing",1
"568","confy",1
"570","conjested",1
"571","conjugated",1
"572","connect",1
"573","connected",1
"576","connects",1
"577","consecutive",1
"578","consent",1
"581","consisted",1
"582","constant",1
"583","consumed",1
"585","contacting",1
"586","container",1
"589","contorlled",1
"590","contracts",1
"591","control",1
"592","controlled",1
"593","controlstayed",1
"598","convention",1
"599","converse",1
"600","convienent",1
"601","convienient",1
"602","coocked",1
"603","cook",1
"606","cooler",1
"607","cooling",1
"608","cools",1
"609","cope",1
"611","cornerdust",1
"612","corrected",1
"615","costa",1
"617","coststayed",1
"618","cosy",1
"619","couch",1
"620","coughing",1
"623","couldnt",1
"624","count",1
"626","counting",1
"627","country",1
"631","courts",1
"633","courtwe",1
"635","covering",1
"637","crammed",1
"639","crampystayed",1
"640","crash",1
"641","creat",1
"642","creating",1
"644","crepe",1
"645","crew",1
"646","crispy",1
"647","croissant",1
"648","croissants",1
"650","croudy",1
"652","crowdstayed",1
"653","crowdy",1
"654","cruise",1
"656","cumbersome",1
"657","cups",1
"658","cusrtomer",1
"661","cut",1
"662","cycling",1
"665","danish",1
"666","daughter",1
"668","daylight",1
"670","daysstayed",1
"673","dealt",1
"674","debit",1
"675","dec",1
"678","decently",1
"679","decided",1
"680","decision",1
"682","deckambiance",1
"683","decor",1
"684","decorate",1
"685","decorated",1
"686","decoratedstayed",1
"687","decoration",1
"689","deemed",1
"691","def",1
"693","degrees",1
"694","delayed",1
"695","deliberately",1
"697","deliciousstayed",1
"698","delight",1
"699","delightful",1
"700","delivering",1
"701","denied",1
"704","depositalso",1
"705","depositstayed",1
"711","designlocation",1
"712","designstayed",1
"716","destinations",1
"717","destinationsstayed",1
"718","destinationstayed",1
"719","deststayed",1
"723","devicesonly",1
"724","dial",1
"728","dietary",1
"730","differences",1
"732","differently",1
"734","dine",1
"740","dipping",1
"741","direct",1
"742","directions",1
"744","dirt",1
"746","disappointed",1
"748","discusting",1
"749","disgrace",1
"751","disgustingly",1
"753","disinterested",1
"754","dismantled",1
"756","dispenserroof",1
"757","disposition",1
"759","distances",1
