"","term3","Freq"
"269","bigstayed",1
"270","bike",1
"271","bin",1
"273","birdshit",1
"276","bitten",1
"277","bl",1
"278","black",1
"280","blankets",1
"281","bleach",1
"282","bleeding",1
"283","blend",1
"285","bleu",1
"288","blt",1
"289","bluntly",1
"292","boats",1
"297","bookingcomwhen",1
"298","borrow",1
"300","bother",1
"302","bottle",1
"303","bottled",1
"304","bottles",1
"305","bought",1
"306","bound",1
"307","bowl",1
"308","box",1
"310","boys",1
"313","breadfast",1
"314","breakages",1
"320","bristle",1
"321","broke",1
"323","brought",1
"324","bubble",1
"328","buffetstayed",1
"330","build",1
"332","buildings",1
"333","buildingstayed",1
"335","buses",1
"336","buseseasy",1
"337","bush",1
"338","business",1
"341","butdont",1
"342","buying",1
"348","cafeit",1
"353","calledstayed",1
"354","calling",1
"356","campaign",1
"358","canat",1
"361","canteen",1
"362","canteenaircon",1
"364","cards",1
"366","carelaundry",1
"367","cargo",1
"371","carry",1
"372","case",1
"373","cater",1
"374","catered",1
"375","caught",1
"378","causing",1
"379","ceiling",1
"380","celebration",1
"381","celebrity",1
"382","cellular",1
"385","centre",1
"386","century",1
"387","cereal",1
"389","certainly",1
"390","certificate",1
"392","chalets",1
"393","challenges",1
"397","changing",1
"399","chargeable",1
"400","chargeablevery",1
"401","charged",1
"402","charges",1
"403","charm",1
"405","cheaper",1
"406","cheapest",1
"407","cheated",1
"408","chechnya",1
"413","checkout",1
"414","cheerful",1
"415","cheese",1
"416","chemically",1
"417","child",1
"419","childrenstayed",1
"420","chillout",1
"423","chlorinated",1
"430","christmas",1
"431","cicadas",1
"432","cigarette",1
"434","citystayed",1
"435","claimed",1
"439","cleanest",1
"441","cleaninessstayed",1
"444","cleanlinessstayed",1
"445","cleannness",1
"446","cleansmall",1
"448","clear",1
"450","clogged",1
"453","closer",1
"458","clumsy",1
"459","coast",1
"461","cobwebs",1
"462","coco",1
"465","coldstayed",1
"470","comfort",1
"472","comfortableits",1
"473","comforter",1
"474","comforterjacuzzi",1
"476","comfyfixtures",1
"479","commendablestayed",1
"481","commercial",1
"482","commitment",1
"484","communicating",1
"485","companystayed",1
"486","compare",1
"487","compared",1
"488","comparison",1
"489","compartment",1
"490","competitivestayed",1
"492","complained",1
"493","complaints",1
"494","complete",1
"498","compound",1
"499","compromise",1
"500","computers",1
"503","conceptstayed",1
"505","concierge",1
"506","concrete",1
"507","condiment",1
"511","conditioners",1
"513","condom",1
"514","condotioner",1
"515","configurations",1
"516","confirmation",1
"517","conjusted",1
"521","connectivity",1
"522","connects",1
"524","considered",1
"526","consistent",1
"527","constant",1
"528","constraints",1
"529","construction",1
"530","contact",1
"532","control",1
"533","convenience",1
"535","convenientif",1
"537","conversation",1
"541","cooling",1
"542","cooperative",1
"543","cordial",1
"544","corner",1
"545","cornerthe",1
"546","correct",1
"548","corridors",1
"550","cosy",1
"554","couldnt",1
"556","country",1
"557","couples",1
"558","course",1
"560","courteousdrinking",1
"562","courtesy",1
"564","coverage",1
"566","covers",1
"569","cozywe",1
"570","cramp",1
"571","cramped",1
"572","crampstayed",1
"573","crampy",1
"574","crap",1
"575","crappy",1
"576","crawling",1
"577","creaked",1
"578","create",1
"579","credit",1
"580","creepy",1
"581","crew",1
"582","crispy",1
"583","criticism",1
"584","crockery",1
"586","croissantbeautiful",1
"588","croissantsstayed",1
"589","crossiant",1
"590","crossont",1
"592","crowdedroom",1
"593","crowds",1
"594","cruel",1
"595","crying",1
"596","cstayed",1
"597","cube",1
"598","cumbersome",1
"599","cup",1
"600","cupboards",1
"602","currently",1
"603","curry",1
"606","curtainstowel",1
"607","cushion",1
"610","cutlery",1
"615","dance",1
"616","dangerous",1
"618","data",1
"620","daughter",1
"621","dawnwe",1
"624","daystaff",1
"626","daytime",1
"627","dead",1
"629","dealstayed",1
"632","deception",1
"633","decided",1
"634","decision",1
"636","dedicated",1
"639","defitenely",1
"640","delicacies",1
"642","delights",1
"643","deliver",1
"645","demand",1
"646","demeaning",1
"647","departure",1
"648","deposit",1
"650","designed",1
"651","designstayed",1
"652","desiredwe",1
"654","desks",1
"657","destination",1
"658","details",1
"659","detracts",1
"660","dialled",1
"663","didnat",1
"665","diet",1
"669","difficulties",1
"670","difficulty",1
"671","dilapidated",1
"673","dimmer",1
"674","dingy",1
"677","directly",1
"680","dirtyi",1
"681","dirtynot",1
"682","dirtystayed",1
"683","dirtywe",1
"684","disabilities",1
"687","disappointedbad",1
"688","disappointedly",1
"690","disappointment",1
